p	c	rel	tg_p	tg_c	tg_diff	step
3356	6939	-1	6747	10884	-4137	step 2	
1299	6939	-1	2510	10884	-8374	step 2	
3491	6939	-1	744	10884	-10140	step 2	
3356	35280	-1	6747	4749	1998	step 2	
1299	35280	-1	2510	4749	-2239	step 2	
2914	35280	-1	1580	4749	-3169	step 2	
6453	35280	-1	648	4749	-4101	step 2	
174	137409	-1	6870	3912	2958	step 2	
3356	137409	-1	6747	3912	2835	step 2	
6461	137409	-1	2722	3912	-1190	step 2	
2914	137409	-1	1580	3912	-2332	step 2	
174	15830	-1	6870	3370	3500	step 2	
3356	15830	-1	6747	3370	3377	step 2	
1299	15830	-1	2510	3370	-860	step 2	
3257	15830	-1	1869	3370	-1501	step 2	
2914	15830	-1	1580	3370	-1790	step 2	
3491	15830	-1	744	3370	-2626	step 2	
6762	15830	-1	688	3370	-2682	step 2	
12956	15830	-1	261	3370	-3109	step 2	
6939	15830	-1	10884	3370	7514	step 2	
3356	25091	-1	6747	3178	3569	step 2	
1299	25091	-1	2510	3178	-668	step 2	
3257	25091	-1	1869	3178	-1309	step 2	
6762	25091	-1	688	3178	-2490	step 2	
6453	25091	-1	648	3178	-2530	step 2	
5511	25091	-1	364	3178	-2814	step 2	
3356	9002	-1	6747	2932	3815	step 2	
174	37468	-1	6870	2817	4053	step 2	
3356	37468	-1	6747	2817	3930	step 2	
1299	37468	-1	2510	2817	-307	step 2	
3257	37468	-1	1869	2817	-948	step 2	
2914	37468	-1	1580	2817	-1237	step 2	
6453	37468	-1	648	2817	-2169	step 2	
12956	37468	-1	261	2817	-2556	step 2	
174	7195	-1	6870	2558	4312	step 2	
3356	7195	-1	6747	2558	4189	step 2	
1299	7195	-1	2510	2558	-48	step 2	
174	34927	-1	6870	2446	4424	step 2	
3356	34927	-1	6747	2446	4301	step 2	
1299	34927	-1	2510	2446	64	step 2	
3257	34927	-1	1869	2446	-577	step 2	
6830	34927	-1	350	2446	-2096	step 2	
6939	34927	-1	10884	2446	8438	step 2	
9002	34927	-1	2932	2446	486	step 2	
174	4455	-1	6870	2387	4483	step 2	
1239	4455	-1	4874	2387	2487	step 2	
1299	4455	-1	2510	2387	123	step 2	
6453	4455	-1	648	2387	-1739	step 2	
174	34549	-1	6870	2288	4582	step 2	
1299	34549	-1	2510	2288	222	step 2	
3257	34549	-1	1869	2288	-419	step 2	
2914	34549	-1	1580	2288	-708	step 2	
5511	34549	-1	364	2288	-1924	step 2	
6830	34549	-1	350	2288	-1938	step 2	
3356	41327	-1	6747	2268	4479	step 2	
1299	41327	-1	2510	2268	242	step 2	
3257	41327	-1	1869	2268	-399	step 2	
6762	41327	-1	688	2268	-1580	step 2	
174	37100	-1	6870	2148	4722	step 2	
3356	37100	-1	6747	2148	4599	step 2	
1299	37100	-1	2510	2148	362	step 2	
3257	37100	-1	1869	2148	-279	step 2	
2914	37100	-1	1580	2148	-568	step 2	
6762	37100	-1	688	2148	-1460	step 2	
6453	37100	-1	648	2148	-1500	step 2	
3356	33891	-1	6747	2095	4652	step 2	
1299	33891	-1	2510	2095	415	step 2	
3320	33891	-1	698	2095	-1397	step 2	
25091	8298	-1	3178	1950	1228	step 2	
34549	8298	-1	2288	1950	338	step 2	
3356	8220	-1	6747	1905	4842	step 2	
1299	8220	-1	2510	1905	605	step 2	
2914	8220	-1	1580	1905	-325	step 2	
6453	8220	-1	648	1905	-1257	step 2	
1299	5405	-1	2510	1860	650	step 2	
2914	5405	-1	1580	1860	-280	step 2	
3320	5405	-1	698	1860	-1162	step 2	
174	20764	-1	6870	1837	5033	step 2	
3356	20764	-1	6747	1837	4910	step 2	
6939	20764	-1	10884	1837	9047	step 2	
1299	39351	-1	2510	1815	695	step 2	
3356	12552	-1	6747	1799	4948	step 2	
1299	12552	-1	2510	1799	711	step 2	
174	52320	-1	6870	1794	5076	step 2	
3356	52320	-1	6747	1794	4953	step 2	
6461	52320	-1	2722	1794	928	step 2	
1299	52320	-1	2510	1794	716	step 2	
2914	52320	-1	1580	1794	-214	step 2	
6939	52320	-1	10884	1794	9090	step 2	
7195	52320	-1	2558	1794	764	step 2	
3356	29075	-1	6747	1698	5049	step 2	
1299	29075	-1	2510	1698	812	step 2	
6762	29075	-1	688	1698	-1010	step 2	
5511	29075	-1	364	1698	-1334	step 2	
6939	29075	-1	10884	1698	9186	step 2	
1299	48362	-1	2510	1698	812	step 2	
9002	48362	-1	2932	1698	1234	step 2	
174	3216	-1	6870	1669	5201	step 2	
3356	3216	-1	6747	1669	5078	step 2	
1299	3216	-1	2510	1669	841	step 2	
6762	3216	-1	688	1669	-981	step 2	
174	1764	-1	6870	1594	5276	step 2	
3356	1764	-1	6747	1594	5153	step 2	
1299	1764	-1	2510	1594	916	step 2	
3257	1764	-1	1869	1594	275	step 2	
2914	1764	-1	1580	1594	-14	step 2	
6939	1764	-1	10884	1594	9290	step 2	
6461	8218	-1	2722	1553	1169	step 2	
1299	8218	-1	2510	1553	957	step 2	
1299	3214	-1	2510	1540	970	step 2	
5511	3214	-1	364	1540	-1176	step 2	
6830	3214	-1	350	1540	-1190	step 2	
6939	3214	-1	10884	1540	9344	step 2	
25091	34019	-1	3178	1522	1656	step 2	
8218	34019	-1	1553	1522	31	step 2	
3356	20485	-1	6747	1472	5275	step 2	
1299	20485	-1	2510	1472	1038	step 2	
3491	20485	-1	744	1472	-728	step 2	
6762	20485	-1	688	1472	-784	step 2	
174	30844	-1	6870	1411	5459	step 2	
3356	30844	-1	6747	1411	5336	step 2	
2914	30844	-1	1580	1411	169	step 2	
3491	30844	-1	744	1411	-667	step 2	
6762	30844	-1	688	1411	-723	step 2	
6453	30844	-1	648	1411	-763	step 2	
5511	30844	-1	364	1411	-1047	step 2	
174	5713	-1	6870	1404	5466	step 2	
3356	5713	-1	6747	1404	5343	step 2	
2914	5713	-1	1580	1404	176	step 2	
3491	5713	-1	744	1404	-660	step 2	
6762	5713	-1	688	1404	-716	step 2	
5511	5713	-1	364	1404	-1040	step 2	
9002	8758	-1	2932	1352	1580	step 2	
8220	8758	-1	1905	1352	553	step 2	
174	60171	-1	6870	1345	5525	step 2	
3491	60171	-1	744	1345	-601	step 2	
6762	60171	-1	688	1345	-657	step 2	
6939	60171	-1	10884	1345	9539	step 2	
37100	60171	-1	2148	1345	803	step 2	
174	20473	-1	6870	1336	5534	step 2	
3356	20473	-1	6747	1336	5411	step 2	
1299	20473	-1	2510	1336	1174	step 2	
3257	20473	-1	1869	1336	533	step 2	
2914	20473	-1	1580	1336	244	step 2	
3491	20473	-1	744	1336	-592	step 2	
6762	20473	-1	688	1336	-648	step 2	
3356	4826	-1	6747	1314	5433	step 2	
1299	4826	-1	2510	1314	1196	step 2	
3257	4826	-1	1869	1314	555	step 2	
3491	4826	-1	744	1314	-570	step 2	
5511	4826	-1	364	1314	-950	step 2	
6939	4826	-1	10884	1314	9570	step 2	
174	12389	-1	6870	1297	5573	step 2	
1299	12389	-1	2510	1297	1213	step 2	
3257	12389	-1	1869	1297	572	step 2	
3491	12389	-1	744	1297	-553	step 2	
6762	12389	-1	688	1297	-609	step 2	
5511	12389	-1	364	1297	-933	step 2	
6939	12389	-1	10884	1297	9587	step 2	
3356	1267	-1	6747	1259	5488	step 2	
1299	1267	-1	2510	1259	1251	step 2	
6762	1267	-1	688	1259	-571	step 2	
174	12741	-1	6870	1240	5630	step 2	
3356	12741	-1	6747	1240	5507	step 2	
6939	12741	-1	10884	1240	9644	step 2	
174	9498	-1	6870	1233	5637	step 2	
6461	9498	-1	2722	1233	1489	step 2	
1299	9498	-1	2510	1233	1277	step 2	
3257	9498	-1	1869	1233	636	step 2	
2914	9498	-1	1580	1233	347	step 2	
3491	9498	-1	744	1233	-489	step 2	
6762	9498	-1	688	1233	-545	step 2	
6453	9498	-1	648	1233	-585	step 2	
6939	9498	-1	10884	1233	9651	step 2	
1299	9044	-1	2510	1107	1403	step 2	
2914	9044	-1	1580	1107	473	step 2	
1299	48858	-1	2510	1105	1405	step 2	
9002	48858	-1	2932	1105	1827	step 2	
20764	48858	-1	1837	1105	732	step 2	
20485	48858	-1	1472	1105	367	step 2	
12389	48858	-1	1297	1105	192	step 2	
174	1836	-1	6870	1102	5768	step 2	
3356	1836	-1	6747	1102	5645	step 2	
5511	1836	-1	364	1102	-738	step 2	
174	50673	-1	6870	1091	5779	step 2	
6762	50673	-1	688	1091	-403	step 2	
6453	50673	-1	648	1091	-443	step 2	
6830	50673	-1	350	1091	-741	step 2	
9002	50673	-1	2932	1091	1841	step 2	
33891	50673	-1	2095	1091	1004	step 2	
174	3303	-1	6870	1048	5822	step 2	
3356	3303	-1	6747	1048	5699	step 2	
3320	3303	-1	698	1048	-350	step 2	
12956	3303	-1	261	1048	-787	step 2	
6939	3303	-1	10884	1048	9836	step 2	
174	13335	-1	6870	1046	5824	step 2	
3356	13335	-1	6747	1046	5701	step 2	
1299	13335	-1	2510	1046	1464	step 2	
3257	13335	-1	1869	1046	823	step 2	
2914	13335	-1	1580	1046	534	step 2	
6762	13335	-1	688	1046	-358	step 2	
6453	13335	-1	648	1046	-398	step 2	
5511	13335	-1	364	1046	-682	step 2	
12956	13335	-1	261	1046	-785	step 2	
37468	13335	-1	2817	1046	1771	step 2	
37100	13335	-1	2148	1046	1102	step 2	
20764	13335	-1	1837	1046	791	step 2	
3216	13335	-1	1669	1046	623	step 2	
30844	13335	-1	1411	1046	365	step 2	
4826	13335	-1	1314	1046	268	step 2	
12389	13335	-1	1297	1046	251	step 2	
9498	13335	-1	1233	1046	187	step 2	
3356	8359	-1	6747	1045	5702	step 2	
12389	8359	-1	1297	1045	252	step 2	
9002	57304	-1	2932	1036	1896	step 2	
3356	46887	-1	6747	1031	5716	step 2	
6461	46887	-1	2722	1031	1691	step 2	
1299	46887	-1	2510	1031	1479	step 2	
3257	46887	-1	1869	1031	838	step 2	
174	8309	-1	6870	986	5884	step 2	
3356	8309	-1	6747	986	5761	step 2	
6762	8309	-1	688	986	-298	step 2	
5511	8309	-1	364	986	-622	step 2	
3356	32787	-1	6747	973	5774	step 2	
6461	32787	-1	2722	973	1749	step 2	
1299	32787	-1	2510	973	1537	step 2	
2914	32787	-1	1580	973	607	step 2	
3491	32787	-1	744	973	-229	step 2	
6762	32787	-1	688	973	-285	step 2	
6453	32787	-1	648	973	-325	step 2	
33891	32787	-1	2095	973	1122	step 2	
4826	32787	-1	1314	973	341	step 2	
9498	32787	-1	1233	973	260	step 2	
174	31133	-1	6870	951	5919	step 2	
1299	31133	-1	2510	951	1559	step 2	
6762	31133	-1	688	951	-263	step 2	
6939	31133	-1	10884	951	9933	step 2	
174	328832	-1	6870	911	5959	step 2	
3356	328832	-1	6747	911	5836	step 2	
1299	328832	-1	2510	911	1599	step 2	
1299	47147	-1	2510	908	1602	step 2	
2914	47147	-1	1580	908	672	step 2	
3320	47147	-1	698	908	-210	step 2	
9002	47147	-1	2932	908	2024	step 2	
1299	50304	-1	2510	904	1606	step 2	
6939	50304	-1	10884	904	9980	step 2	
1299	150000	-1	2510	901	1609	step 2	
6939	150000	-1	10884	901	9983	step 2	
3257	28917	-1	1869	893	976	step 2	
6939	28917	-1	10884	893	9991	step 2	
3320	35710	-1	698	887	-189	step 2	
6939	35710	-1	10884	887	9997	step 2	
174	13194	-1	6870	862	6008	step 2	
3356	13194	-1	6747	862	5885	step 2	
3257	13194	-1	1869	862	1007	step 2	
